Age,Gender,MaritalStatus,IncomeLevel,AmountSpent,ProductCategory,InteractionType,ResolutionStatus,LoginFrequency,ServiceUsage,ChurnStatus
62,2,1,0.0,1.1313823468643363,2,1,0,34,0,0
65,2,3,0.0,-1.391296881051639,1,1,0,5,2,1
65,2,3,0.0,-0.39671067441573954,2,1,0,5,2,1
65,2,3,0.0,-1.0678854128492121,3,1,0,5,2,1
65,2,3,0.0,0.997900979297725,1,1,0,5,2,1
65,2,3,0.0,0.21529406940378287,2,1,0,5,2,1
65,2,3,0.0,0.39761859290172064,2,1,0,5,2,1
65,2,3,0.0,-0.3811506404547598,4,1,0,5,2,1
18,2,1,0.0,-0.09276669264879843,0,1,0,3,2,0
18,2,1,0.0,-1.4184397205620478,1,1,0,3,2,0
18,2,1,0.0,1.1554550451447756,3,1,0,3,2,0
18,2,1,0.0,0.23280782960201604,4,1,0,3,2,0
18,2,1,0.0,0.31751581717434524,4,1,0,3,2,0
18,2,1,0.0,1.0394176618393525,3,1,0,3,2,0
21,2,2,0.0,-0.8981205580193298,2,1,0,2,2,0
21,2,2,0.0,-0.8981205580193298,2,1,1,2,2,0
21,2,2,0.0,-0.9124246251135039,4,1,0,2,2,0
21,2,2,0.0,-0.9124246251135039,4,1,1,2,2,0
21,2,2,0.0,-0.09004543110405319,2,1,0,2,2,0
21,2,2,0.0,-0.09004543110405319,2,1,1,2,2,0
21,2,2,0.0,-1.466236237437703,1,1,0,2,2,0
21,2,2,0.0,-1.466236237437703,1,1,1,2,2,0
21,2,2,0.0,0.8933766256046859,3,1,0,2,2,0
21,2,2,0.0,0.8933766256046859,3,1,1,2,2,0
57,1,4,1.0,0.7760134994954125,0,2,0,2,2,0
57,1,4,1.0,1.3571772791411547,1,2,0,2,2,0
57,1,4,1.0,-1.4838197735729808,3,2,0,2,2,0
57,1,4,1.0,-1.0491156857841737,3,2,0,2,2,0
57,1,4,1.0,-0.35023990034393454,2,2,0,2,2,0
37,2,1,0.0,0.06199633571646225,0,1,1,17,1,1
37,2,1,0.0,0.06199633571646225,0,2,1,17,1,1
37,2,1,0.0,1.6017419384830116,1,1,1,17,1,1
37,2,1,0.0,1.6017419384830116,1,2,1,17,1,1
37,2,1,0.0,-0.09374355576742507,0,1,1,17,1,1
37,2,1,0.0,-0.09374355576742507,0,2,1,17,1,1
37,2,1,0.0,0.6411366131879065,1,1,1,17,1,1
37,2,1,0.0,0.6411366131879065,1,2,1,17,1,1
37,2,1,0.0,-0.0047094600983209785,3,1,1,17,1,1
37,2,1,0.0,-0.0047094600983209785,3,2,1,17,1,1
37,2,1,0.0,-0.6474853921545793,2,1,1,17,1,1
37,2,1,0.0,-0.6474853921545793,2,2,1,17,1,1
37,2,1,0.0,0.2998625051020227,3,1,1,17,1,1
37,2,1,0.0,0.2998625051020227,3,2,1,17,1,1
39,2,4,2.0,-1.100261447637977,2,1,0,24,2,0
39,2,4,2.0,1.5201040921406512,1,1,0,24,2,0
39,2,4,2.0,-1.465957133689524,4,1,0,24,2,0
